City,Price,Bedroom,Bathroom,Floors,Parking,Year,Area,Road Width,Build Area,Air Condition,Backyard,Balcony,CCTV,Cafeteria,Deck,Drainage,Electricity Backup,Fencing,Frontyard,Garage,Garden,Gym,Intercom,Internet,Jacuzzi,Kids Playground,Lawn,Lift,Maintenance,Microwave,Modular Kitchen,Parking,Security Staff,Solar Water,Store Room,Swimming Pool,TV Cable,Washing Machine,Water Supply,Water Tank,Water Well,Wifi,East,North,North East,North West,South,South East,South West,West
Kathmandu,24000000,4,4,2.5,1,2075.0,0-4-0-0 Aana,3.96,2100 Sq. Feet,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0
Kathmandu,37000000,6,6,3.0,3,2058.0,6.1 Aana,9.75,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
Kathmandu,102500000,6,6,3.0,4,2070.0,19 Aana,3.96,N/A Aana,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0
Lalitpur,22000000,7,4,3.5,2,2076.0,0-4-2-0 Aana,3.96,2700 Aana,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0
Kathmandu,58500000,6,6,3.0,2,2076.0,6.5 Aana,4.88,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
Lalitpur,18500000,4,3,2.5,1,2076.0,0-3-0-0 Aana,3.96,N/A Sq. Feet,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0
Lalitpur,21000000,4,3,2.5,1,2076.0,0-3-2-0 Aana,3.96,112 Sq. Meter,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0
Lalitpur,17500000,5,3,3.0,1,2058.0,3-0-2 Aana,3.96,3-0-2 Aana,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0
Kathmandu,130000000,5,6,3.0,3,2074.0,10 Aana,4.57,N/A Aana,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
Kathmandu,105000000,8,8,4.0,4,2076.0,21 Aana,4.57,N/A Aana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
