City,Price,Bedroom,Bathroom,Floors,Year,Area,Road Width,Balcony,Drainage,Water Supply,Water Tank,East,North,North East,North West,South,South East,South West,West
16,65550000,5,5,3.0,2058.0,10.0,6.1,1.0,1.0,1.0,0.0,0,0,0,0,0,1,0,0
16,17000000,4,3,2.5,2076.0,4.0,3.05,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0
19,12500000,2,1,1.5,2076.0,3.25,3.96,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0
16,45000000,4,4,3.0,2074.0,11.0,6.71,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0
19,12500000,2,1,1.5,2076.0,3.0,3.96,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0
19,19000000,4,3,2.5,2076.0,3.5,3.96,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0
16,32000000,0,0,3.0,2058.0,10.0,6.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
16,15500000,2,1,1.5,2076.0,4.0,6.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
16,3000000,0,0,3.0,2058.0,12.0,4.88,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,6500000,0,0,3.0,2058.0,18.0,12.19,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,2350000,0,0,3.0,2058.0,5.0,3.96,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,4100000,0,0,3.0,2058.0,4.0,3.96,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
0,100000,0,0,3.0,2058.0,52.57450000000001,4.88,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,200000,0,0,3.0,2058.0,10.0,6.1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0
16,3500000,0,0,3.0,2058.0,6.1,3.66,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,30000,2,1,3.0,2058.0,4.0,3.35,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,2800000,0,0,3.0,2058.0,18.0,6.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,3500000,0,0,3.0,2058.0,18.0,9.14,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,1500000,0,0,3.0,2058.0,7.0,17.68,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
5,1250000,0,0,3.0,2003.0,153.065,6.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,1100000,0,0,3.0,2058.0,4.0,3.05,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,8500000,0,0,3.0,2058.0,5.5,3.96,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,2850000,0,0,3.0,2058.0,4.0,3.05,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,1450000,0,0,3.0,2058.0,5.0,6.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,2600000,0,0,3.0,2058.0,41.0,4.57,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,3800000,0,0,3.0,2058.0,16.0,9.14,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,3500000,0,0,3.0,2058.0,10.0,9.14,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,1000000,0,0,3.0,2058.0,3.0,7.92,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
16,4200000,0,0,3.0,2058.0,8.0,4.57,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,6000000,0,0,3.0,2058.0,128.0,10.67,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,20000,2,1,3.0,2058.0,5.5,5.49,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1
3,2100000,0,0,3.0,2058.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,32000,2,2,5.0,2058.0,7.95,3.05,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
19,3500000,0,0,3.0,2058.0,4.5,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0
16,75000,7,7,3.0,2070.0,9.0,3.96,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,30000,1,1,3.0,2058.0,10.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0
16,8500000,0,0,3.0,2058.0,29.0,4.88,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
